name,injury_date
"Pineda, Michael",5/14/2022
"Middleton, Keynan",5/16/2022
"Rucker, Michael",5/16/2022
"Kittredge, Andrew",5/16/2022
"Senzatela, Antonio",5/16/2022
"Odorizzi, Jake",5/16/2022
"Overton, Connor",5/17/2022
"Winder, Josh",5/17/2022
"Clevinger, Mike",5/17/2022
"Nelson, Kyle",5/18/2022
"Bender, Anthony",5/18/2022
"Rodriguez, Eduardo",5/18/2022
"Paddack, Chris",5/18/2022
"Scherzer, Max",5/18/2022
"Paddack, Chris",5/18/2022
"Jones, Damon",5/19/2022
"Vest, Will",5/20/2022
"Bolaños, Ronald",5/20/2022
"Hembree, Heath",5/20/2022
"Civale, Aaron",5/20/2022
"Robles, Hansel",5/22/2022
"Chapman, Aroldis",5/22/2022
"Loáisiga, Jonathan",5/22/2022
"Sanders, Phoenix",5/22/2022
"Watkins, Spenser",5/22/2022
"Miley, Wade",5/22/2022
"Peralta, Freddy",5/22/2022
"Matz, Steven",5/22/2022
"Stephenson, Robert",5/23/2022
"Hicks, Jordan",5/24/2022
"Gil, Luis",5/24/2022
"Gil, Luis",5/24/2022
"Kelly, Joe",5/25/2022
"Garrett, Amir",5/25/2022
"Speier, Gabe",5/25/2022
"Peacock, Matt",5/25/2022
"Poteet, Cody",5/25/2022
"Ryan, Joe",5/25/2022
"Woodruff, Brandon",5/27/2022
"Perdomo, Luis",5/28/2022
"Greinke, Zack",5/29/2022
"Gray, Sonny",5/29/2022
"Barnes, Matt",5/30/2022
"Strahm, Matt",5/30/2022
"Green, Chad",6/1/2022
"Peters, Dillon",6/1/2022
"Ober, Bailey",6/1/2022
"Green, Chad",6/1/2022
"Krehbiel, Joey",6/2/2022
"Feyereisen, J.P.",6/2/2022
"Rogers, Josh",6/2/2022
"Velasquez, Vince",6/2/2022
"Wilson, Justin",6/3/2022
"Taylor, Blake",6/3/2022
"Stroman, Marcus",6/3/2022
"Kranick, Max",6/3/2022
"Cobb, Alex",6/3/2022
"Taylor, Blake",6/3/2022
"Wilson, Justin",6/3/2022
"Kranick, Max",6/3/2022
"Gott, Trevor",6/5/2022
"Arano, Víctor",6/5/2022
"Mushinski, Parker",6/6/2022
"McHugh, Collin",6/7/2022
"Bummer, Aaron",6/7/2022
"Holderman, Colin",6/7/2022
"Martin, Brett",6/7/2022
"Whitlock, Garrett",6/7/2022
"Kinley, Tyler",6/8/2022
"Vasquez, Andrew",6/8/2022
"Eovaldi, Nathan",6/8/2022
"Suarez, Robert",6/9/2022
"Strasburg, Stephen",6/9/2022
"Hendriks, Liam",6/10/2022
"Blach, Ty",6/10/2022
"Miley, Wade",6/10/2022
"Junis, Jakob",6/10/2022
"Rasmussen, Drew",6/10/2022
"Otto, Glenn",6/10/2022
"Ross, Joe",6/10/2022
"Morejon, Adrian",6/11/2022
"Alvarez, Jose",6/11/2022
"Clevinger, Mike",6/11/2022
"Sulser, Cole",6/12/2022
"Cabrera, Edward",6/12/2022
"Crick, Kyle",6/13/2022
"Santillan, Tony",6/13/2022
"Payamps, Joel",6/13/2022
"Merryweather, Julian",6/13/2022
"Jefferies, Daulton",6/13/2022
"Underwood Jr., Duane",6/13/2022
"Díaz, Alexis",6/14/2022
"Ferguson, Caleb",6/14/2022
"Megill, Trevor",6/14/2022
"Mize, Casey",6/15/2022
"Mize, Casey",6/15/2022
"Stashak, Cody",6/16/2022
"Ashby, Aaron",6/16/2022
"Megill, Tylor",6/16/2022
"Severino, Luis",6/16/2022
"Warren, Austin",6/17/2022
"Richards, Trevor",6/17/2022
"Lee, Evan",6/17/2022
"Thompson, Zach",6/17/2022
"Musgrove, Joe",6/17/2022
"Jiménez, Dany",6/18/2022
"Bradish, Kyle",6/18/2022
"Jin Ryu, Hyun",6/18/2022
"Jin Ryu, Hyun",6/18/2022
"Heaney, Andrew",6/19/2022
"Staumont, Josh",6/21/2022
"Herget, Jimmy",6/21/2022
"Sánchez, Miguel",6/21/2022
"Moll, Sam",6/21/2022
"García, Yimi",6/21/2022
"McArthur, James",6/21/2022
"Norris, Daniel",6/22/2022
"Head, Louis",6/22/2022
"Morejon, Adrian",6/22/2022
"McFarland, T.J.",6/22/2022
"Kittredge, Andrew",6/22/2022
"Lynch IV, Daniel",6/22/2022
"Kittredge, Andrew",6/22/2022
"Smith, Joe",6/23/2022
"VerHagen, Drew",6/23/2022
"Hoffman, Jeff",6/24/2022
"Hudson, Daniel",6/24/2022
"Bush, Matt",6/24/2022
"Davies, Zach",6/25/2022
"Brogdon, Connor",6/25/2022
"Wilson, Steven",6/25/2022
"Cabrera, Génesis",6/25/2022
"Eflin, Zach",6/25/2022
"Jansen, Kenley",6/26/2022
"Bradley, Archie",6/26/2022
"Feltner, Ryan",6/26/2022
"Flaherty, Jack",6/26/2022
"Wacha, Michael",6/28/2022
"García, Rony",6/29/2022
"Suárez, Ranger",6/29/2022
"Houser, Adrian",6/30/2022
"Hill, Rich",7/1/2022
"Senzatela, Antonio",7/1/2022
"Lorenzen, Michael",7/1/2022
"Bassitt, Chris",7/1/2022
"Warren, Art",7/2/2022
"Marinaccio, Ron",7/2/2022
